strategy,direction,exit,symbol,n_trades,total_return,buy_hold,excess_return,sharpe,win_rate,avg_pnl_pct,max_dd,n_long,n_short
donchian_55_20,long_short,trailing,JNJ,47,-0.26569678812453135,2.058300781064007,-2.3239975691885384,-1.6180779259852083,0.3617021276595745,-0.005279787234042556,0.45719193564547034,26,21
ma_cross_20_100,long_flat,regime,GOOGL,18,4.403447267168544,13.0336470477322,-8.630199780563657,7.6030406549209575,0.5,0.12005277777777776,0.11837587109999999,18,0
ma_cross_20_100,long_flat,regime,XOM,22,0.7061473357658934,1.6234763470017382,-0.9173290112358448,3.3175190107397303,0.2727272727272727,0.036710454545454546,0.2929552623349511,22,0
ma_cross_20_100,long_flat,regime,JNJ,18,0.23040599623179414,2.058300781064007,-1.8278947848322127,2.3500775669520366,0.2777777777777778,0.017052222222222226,0.27061197887299754,18,0
ma_cross_20_100,long_flat,trailing,GOOGL,18,-0.019991299955838482,13.0336470477322,-13.05363834768804,0.12211949063535804,0.3888888888888889,0.0004505555555555567,0.18879290592365935,18,0
ma_cross_20_100,long_flat,trailing,XOM,22,-0.08218391321097474,1.6234763470017382,-1.7056602602127129,-0.7509592478659582,0.36363636363636365,-0.0025472727272727257,0.19023388497688892,22,0
ma_cross_20_100,long_flat,trailing,JNJ,18,0.20095607631890022,2.058300781064007,-1.8573447047451066,2.75935600587326,0.4444444444444444,0.012414444444444443,0.0871375975783208,18,0
ma_cross_20_100,long_short,regime,GOOGL,36,0.6283056197159547,13.0336470477322,-12.405341428016246,2.288447768213071,0.3333333333333333,0.029816111111111113,0.5346417242986888,18,18
ma_cross_20_100,long_short,regime,XOM,44,-0.12123313716781026,1.6234763470017382,-1.7447094841695483,0.5819530842399356,0.2727272727272727,0.005143181818181819,0.6018747026617264,22,22
ma_cross_20_100,long_short,regime,JNJ,36,-0.5682514343991101,2.058300781064007,-2.626552215463117,-3.2015449628396766,0.16666666666666666,-0.019092777777777778,0.6981905667185142,18,18
ma_cross_20_100,long_short,trailing,GOOGL,36,-0.422476497071701,13.0336470477322,-13.456123544803901,-3.6627389400350485,0.3611111111111111,-0.013447777777777779,0.5159931560298789,18,18
ma_cross_20_100,long_short,trailing,XOM,44,-0.2993851024641926,1.6234763470017382,-1.9228614494659308,-1.8041255193028116,0.3181818181818182,-0.006505227272727273,0.41058510666397174,22,22
ma_cross_20_100,long_short,trailing,JNJ,36,-0.1574663070820035,2.058300781064007,-2.21576708814601,-0.8881484004477017,0.3611111111111111,-0.003236388888888888,0.30321539220028654,18,18
ma_cross_50_200,long_flat,regime,GOOGL,8,6.500266393696919,13.0336470477322,-6.533380654035281,14.582064775871812,0.75,0.32520375,0.03624999999999997,8,0
ma_cross_50_200,long_flat,regime,XOM,10,0.9700035202573418,1.6234763470017382,-0.6534728267443963,4.396881218372775,0.3,0.13072599999999995,0.33141154978797055,10,0
ma_cross_50_200,long_flat,regime,JNJ,13,0.2399758034794912,2.058300781064007,-1.8183249775845156,2.5643550384272302,0.3076923076923077,0.02876461538461539,0.37991669150823426,13,0
ma_cross_50_200,long_flat,trailing,GOOGL,8,0.579711781498643,13.0336470477322,-12.453935266233557,5.499079091946829,0.375,0.0738475,0.11052594051439003,8,0
ma_cross_50_200,long_flat,trailing,XOM,10,-0.07915255537017618,1.6234763470017382,-1.7026289023719143,-2.9303006611597313,0.3,-0.007486000000000002,0.17004187108712224,10,0
ma_cross_50_200,long_flat,trailing,JNJ,13,0.061097877997494665,2.058300781064007,-1.9972029030665122,1.3515633411144923,0.3076923076923077,0.008122307692307694,0.1717983411643679,13,0
ma_cross_50_200,long_short,regime,GOOGL,16,1.98969091554092,13.0336470477322,-11.04395613219128,5.304523729882099,0.4375,0.1145275,0.37019,8,8
ma_cross_50_200,long_short,regime,XOM,20,0.11739506320945559,1.6234763470017382,-1.5060812837922826,1.913389866494032,0.25,0.042391500000000006,0.5892921286140849,10,10
ma_cross_50_200,long_short,regime,JNJ,25,-0.556901241680944,2.058300781064007,-2.615202022744951,-2.740328610144095,0.16,-0.024178399999999992,0.7343921280216054,13,12
ma_cross_50_200,long_short,trailing,GOOGL,16,-0.07865384111486196,13.0336470477322,-13.112300888847063,0.4592356202114447,0.25,0.00476625,0.42020275811049723,8,8
ma_cross_50_200,long_short,trailing,XOM,20,-0.31100875274016004,1.6234763470017382,-1.9344850997418983,-7.431149626630848,0.2,-0.0177735,0.35819603541081413,10,10
ma_cross_50_200,long_short,trailing,JNJ,25,-0.12774442374195927,2.058300781064007,-2.186045204805966,-0.8075606429836001,0.24,-0.003515999999999999,0.3191923853915716,13,12
tsmom_60,long_flat,regime,GOOGL,68,4.695034426921903,13.0336470477322,-8.338612620810299,3.5348204409808397,0.45588235294117646,0.03365073529411764,0.23762896550353657,68,0
tsmom_60,long_flat,regime,XOM,81,0.15044386893063733,1.6234763470017382,-1.4730324780711008,0.9093065433320892,0.30864197530864196,0.00554320987654321,0.42803347826479216,81,0
